Tweet,Affect Dimension
@RockSolidShow @Pat_Francis #revolting cocks if you think I'm sexy!,2
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid,2
“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,2
@carlybigelow13 first you take the room now you wanna beat me up ,2
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,2
@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,2
3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯,2
@WunderlistHelp are you guys still down? When can we go up? ,2
@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully,2
@Jchawes What is your favorite #horror movie? #ghosthunters,2
Not sure if thats an accomplishment or something to worry about,2
@CharlieEblacker hate being shy 😩,2
#smackdev #ptp #start oh yeah!,2
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",2
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",2
I'm shaking now.,2
And they cover these police shootings fairly well they dont want to miss a chance to bully you,2
"“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.”",2
@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference),2
That old lady is cray cray #scared #BellaIsSoCute  #Empire,2
Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. ,2
@YahooCare data stolen in 2014 and only now do you tell us .,2
@RyanAbe awe yay thank god I was so worried.,2
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,2
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,2
Late night #thoughts. Feeling .,2
The terror threat level really need to be raised,2
You have a #problem? Yes! Can you do #something about it? No! Than why ,2
"@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins",2
#panic Panic attack from fear of starting new medication,2
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",2
An @amityaffliction kind of drive home from work today  #dailyfeels,2
♪OLD FISH ,2
Rojo is a terrible defender,2
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,2
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,2
@hotpatooties more like quickie divorce #awful,2
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,2
@SimplyMayaMarie @STILLStanding_B 😂😂😂 y'all know I'm crazy its just shocking that's all,2
Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...,2
@priorJoan @MizQue \nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat's horrific,2
"@CGasparino Give it up Gas, I don't hate u, I just don't respect ur rudeness. #bully",2
@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer,2
@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt,2
Has anyone else had a bad experience with Poundstretcher? #nightmare firm,2
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,2
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,2
I really want to go for fright night but I really don't 😁,2
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,2
"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter ",2
"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband",2
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,2
Do not #worry about anything but #pray about everything.,2
