Word,Synonym1,Synonym2,Synonym3,Synonym4,Synonym5
قوة,قدرة,عزيمة,قوة,جبروت,عنف
سعادة,فرح,بهجة,سرور,طرب,بسمة
حب,عشق,وله,حنان,عطف,ود
جمال,نعومة,روعة,سحر,جاذبية,أناقة
علم,معرفة,ثقافة,علم,تعليم,دراية
حرية,استقلال,تحرر,حرية,فكر,انفراد
سلام,هدوء,سكينة,سلام,وئام,انسجام
عدالة,مساواة,إنصاف,عدالة,حق,شرعية
رحمة,شفقة,عطف,رحمة,غفران,رأفة
صداقة,وفاء,محبة,تضامن,وئام,ود
سرور,سعادة,فرح,بهجة,طرب,ابتهاج
هدوء,سكينة,سلام,هدوء,هدنة,سكون
وفاء,صداقة,وفاء,اخلاص,ود,ثبات
عشق,حب,غرام,عشق,وله,شغف
محبة,صداقة,حب,مودة,ود,محبة
وئام,سلام,صداقة,وفاء,انسجام,هناء
محبة, ود, مودة, غرام, حب, شغف
سرور, فرح, سعادة, بهجة, طرب, ابتهاج
سلام, هدوء, سكينة, وئام, انسجام, هناء
علم, معرفة, ثقافة, دانمرك, تعليم, دراية
جمال, نعومة, روعة, جمال, جاذبية, أناقة
قوة, قدرة, عزيمة, قوة, جبروت, عنف
حرية, استقلال, تحرر, حرية, فكر, انفراد
حب, عشق, وله, حنان, عطف, ود
صداقة, وفاء, محبة, تضامن, هناء, وئام
رحمة, شفقة, عطف, رحمة, غفران, رأفة
عدالة, مساواة, إنصاف, عدالة, حق, شرعية
وفاء, صداقة, وفاء, اخلاص, ثبات, تمسك
هدوء, سكينة, سلام, هدوء, هدنة, سكون
سعادة, فرح, بهجة, سرور, طرب, بسمة
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
حزن, كآبة, أسى, حزن, غم, يأس
خوف, رهبة, وجل, هلع, فزع, رعب
غضب, غضب, غيظ, سخط, غضب, غضب
خجل, استحى, إحراج, خجل, شعور, تواضع
تفاؤل, أمل, تفاؤل, تفاؤل, أمل, أمل
حبس, سجن, حبس, حصار, إحتجاز, إحتجاز
فرح, فرح, سعادة, فرح, سرور, بهجة
حرية, استقلال, تحرر, حرية, فكر, انفراد
تسامح, عفو, تسامح, صفح, رحمة, شفقة
وحدة, عزلة, وحدة, انعزال, وحدة, انقطاع
